tipoDia,inicio,fin
Domingo y Festivos,05:30,23:50
Lunes a Viernes,05:30,23:50
Sábado,05:30,23:50
Sábado,05:30,23:50
Lunes a Viernes,05:30,23:50
Domingo y Festivos,05:30,23:50
Lunes a Viernes,05:30,00:30
Sábado,05:30,00:30
Domingo y Festivos,05:30,00:30
Domingo y Festivos,05:30,01:30
Lunes a Viernes,05:30,01:30
Sábado,05:30,01:30
Lunes a Viernes,00:00,23:59
Sábado,00:00,23:59
Domingo y Festivos,00:00,23:59
Domingo y Festivos,05:30,23:40
Sábado,05:30,23:40
Lunes a Viernes,05:00,23:45
Lunes a Viernes,05:30,23:30
Domingo y Festivos,05:30,23:30
Sábado,05:30,23:30
Lunes a Viernes,05:30,23:30
Sábado,05:30,23:30
Domingo y Festivos,05:30,23:30
Lunes a Viernes,00:00,23:59
Domingo y Festivos,00:00,23:59
Sábado,00:00,23:59
Lunes a Viernes,17:00,19:48
Lunes a Viernes,06:30,07:45
Domingo y Festivos,05:30,23:30
Domingo y Festivos,05:30,23:30
Sábado,05:00,23:30
Sábado,05:00,23:30
Lunes a Viernes,04:45,23:30
Lunes a Viernes,04:45,23:30
Sábado,05:30,23:40
Domingo y Festivos,05:30,23:40
Lunes a Viernes,05:30,23:41
Sábado,00:05,05:05
Lunes a Viernes,00:05,05:05
Sábado,00:05,05:05
Domingo y Festivos,00:05,05:05
Lunes a Viernes,00:05,05:05
Domingo y Festivos,00:05,05:05
Domingo y Festivos,05:30,00:30
Lunes a Viernes,05:30,00:30
Sábado,05:30,00:30
Lunes a Viernes,06:30,21:29
Domingo y Festivos,10:15,20:44
Sábado,07:15,19:15
Domingo y Festivos,07:01,22:41
Lunes a Viernes,05:30,22:48
Sábado,06:31,22:43
Lunes a Viernes,05:30,22:47
Sábado,05:30,22:41
Domingo y Festivos,06:30,22:40
Lunes a Viernes,18:30,20:10
Lunes a Viernes,18:30,20:10
Lunes a Viernes,05:32,08:18
Lunes a Viernes,05:32,08:18
Lunes a Viernes,06:00,08:45
Domingo y Festivos,05:30,23:30
Lunes a Viernes,05:30,22:40
Sábado,05:30,22:40
Sábado,05:30,22:40
Domingo y Festivos,05:30,23:30
Lunes a Viernes,05:30,22:40
Domingo y Festivos,05:30,22:50
Sábado,05:30,22:45
Lunes a Viernes,05:30,22:45
