id,cod,destino,orden,color,negocio,recorrido,horarios,paradas,shapes,itinerario,codigo
810,101,Cerrillos,1,#F7941D,"{'nombre': 'Express de Santiago Uno S.A.', 'color': '#F7941D'}",{'destino': 'Cerrillos'},[{}],[],[],False,U4
1154,B14,El Salto,26,#cf152d,"{'nombre': 'STU US3', 'color': '#cf152d'}",{'destino': 'El Salto'},[{}],[],[],False,U10
810,101,Cerrillos,2,#F7941D,"{'nombre': 'Express de Santiago Uno S.A.', 'color': '#F7941D'}",{'destino': 'Cerrillos'},[{}],[],[],False,U4
810,101,Cerrillos,3,#F7941D,"{'nombre': 'Express de Santiago Uno S.A.', 'color': '#F7941D'}",{'destino': 'Cerrillos'},[{}],[],[],False,U4
1169,107,Av. Departamental,9,#cf152d,"{'nombre': 'STU US5', 'color': '#cf152d'}",{'destino': 'Av. Departamental'},[{}],[],[],False,U12
349,B15,Arzobispo Valdivieso,27,#ED1C24,"{'nombre': 'Redbus Urbano S.A.', 'color': '#ED1C24'}",{'destino': 'Arzobispo Valdivieso'},[{}],[],[],False,U6
810,101,Cerrillos,4,#F7941D,"{'nombre': 'Express de Santiago Uno S.A.', 'color': '#F7941D'}",{'destino': 'Cerrillos'},[{}],[],[],False,U4
1171,107c,Plaza Renca,10,#cf152d,"{'nombre': 'STU US5', 'color': '#cf152d'}",{'destino': 'Plaza Renca'},[{}],[],[],False,U12
1171,107c,Plaza Renca,11,#cf152d,"{'nombre': 'STU US5', 'color': '#cf152d'}",{'destino': 'Plaza Renca'},[{}],[],[],False,U12
810,101,Cerrillos,5,#F7941D,"{'nombre': 'Express de Santiago Uno S.A.', 'color': '#F7941D'}",{'destino': 'Cerrillos'},[{}],[],[],False,U4
1169,107,Av. Departamental,10,#cf152d,"{'nombre': 'STU US5', 'color': '#cf152d'}",{'destino': 'Av. Departamental'},[{}],[],[],False,U12
349,B15,Arzobispo Valdivieso,28,#ED1C24,"{'nombre': 'Redbus Urbano S.A.', 'color': '#ED1C24'}",{'destino': 'Arzobispo Valdivieso'},[{}],[],[],False,U6
1169,107,Av. Departamental,11,#cf152d,"{'nombre': 'STU US5', 'color': '#cf152d'}",{'destino': 'Av. Departamental'},[{}],[],[],False,U12
810,101,Cerrillos,6,#F7941D,"{'nombre': 'Express de Santiago Uno S.A.', 'color': '#F7941D'}",{'destino': 'Cerrillos'},[{}],[],[],False,U4
349,B15,Arzobispo Valdivieso,29,#ED1C24,"{'nombre': 'Redbus Urbano S.A.', 'color': '#ED1C24'}",{'destino': 'Arzobispo Valdivieso'},[{}],[],[],False,U6
1171,107c,Plaza Renca,12,#cf152d,"{'nombre': 'STU US5', 'color': '#cf152d'}",{'destino': 'Plaza Renca'},[{}],[],[],False,U12
1171,107c,Plaza Renca,13,#cf152d,"{'nombre': 'STU US5', 'color': '#cf152d'}",{'destino': 'Plaza Renca'},[{}],[],[],False,U12
1169,107,Av. Departamental,12,#cf152d,"{'nombre': 'STU US5', 'color': '#cf152d'}",{'destino': 'Av. Departamental'},[{}],[],[],False,U12
810,101,Cerrillos,7,#F7941D,"{'nombre': 'Express de Santiago Uno S.A.', 'color': '#F7941D'}",{'destino': 'Cerrillos'},[{}],[],[],False,U4
810,101,Cerrillos,8,#F7941D,"{'nombre': 'Express de Santiago Uno S.A.', 'color': '#F7941D'}",{'destino': 'Cerrillos'},[{}],[],[],False,U4
1169,107,Av. Departamental,13,#cf152d,"{'nombre': 'STU US5', 'color': '#cf152d'}",{'destino': 'Av. Departamental'},[{}],[],[],False,U12
1171,107c,Plaza Renca,14,#cf152d,"{'nombre': 'STU US5', 'color': '#cf152d'}",{'destino': 'Plaza Renca'},[{}],[],[],False,U12
810,101,Cerrillos,9,#F7941D,"{'nombre': 'Express de Santiago Uno S.A.', 'color': '#F7941D'}",{'destino': 'Cerrillos'},[{}],[],[],False,U4
1169,107,Av. Departamental,14,#cf152d,"{'nombre': 'STU US5', 'color': '#cf152d'}",{'destino': 'Av. Departamental'},[{}],[],[],False,U12
1171,107c,Plaza Renca,15,#cf152d,"{'nombre': 'STU US5', 'color': '#cf152d'}",{'destino': 'Plaza Renca'},[{}],[],[],False,U12
810,101,Cerrillos,10,#F7941D,"{'nombre': 'Express de Santiago Uno S.A.', 'color': '#F7941D'}",{'destino': 'Cerrillos'},[{}],[],[],False,U4
1171,107c,Plaza Renca,16,#cf152d,"{'nombre': 'STU US5', 'color': '#cf152d'}",{'destino': 'Plaza Renca'},[{}],[],[],False,U12
1169,107,Av. Departamental,15,#cf152d,"{'nombre': 'STU US5', 'color': '#cf152d'}",{'destino': 'Av. Departamental'},[{}],[],[],False,U12
1169,107,Av. Departamental,16,#cf152d,"{'nombre': 'STU US5', 'color': '#cf152d'}",{'destino': 'Av. Departamental'},[{}],[],[],False,U12
810,101,Cerrillos,11,#F7941D,"{'nombre': 'Express de Santiago Uno S.A.', 'color': '#F7941D'}",{'destino': 'Cerrillos'},[{}],[],[],False,U4
1171,107c,Plaza Renca,17,#cf152d,"{'nombre': 'STU US5', 'color': '#cf152d'}",{'destino': 'Plaza Renca'},[{}],[],[],False,U12
810,101,Cerrillos,12,#F7941D,"{'nombre': 'Express de Santiago Uno S.A.', 'color': '#F7941D'}",{'destino': 'Cerrillos'},[{}],[],[],False,U4
