lat,long
-33.4060460005,-70.623429
-33.4061750005,-70.623244
-33.4050730005,-70.622375
-33.4045230005,-70.623311
-33.4037210005,-70.624666
-33.4036990005,-70.624721
-33.4036790005,-70.624765
-33.4020880005,-70.627456
-33.4019750005,-70.627514
-33.4022030005,-70.628327
-33.4022920005,-70.628432
-33.4018690005,-70.629007
-33.4013040005,-70.629761
-33.4011580005,-70.629961
-33.4008750005,-70.629753
-33.4006690005,-70.6296
-33.4003340005,-70.629339
-33.4001600005,-70.629715
-33.4000200005,-70.629947
-33.3999740005,-70.630162
-33.3997710005,-70.631242
-33.3996350005,-70.631756
-33.3995730005,-70.632013
-33.3996050005,-70.632147
-33.3996030005,-70.632309
-33.3995440005,-70.63253
-33.3994310005,-70.632979
-33.3990810005,-70.63449
-33.3984100005,-70.637386
-33.3979610005,-70.639295
-33.3978760005,-70.639855
-33.3978230005,-70.640037
-33.3976170005,-70.640573
-33.3974970005,-70.640806
-33.3972080005,-70.641357
-33.3971590005,-70.641486
-33.3969990005,-70.641922
-33.3968090005,-70.642722
-33.3966620005,-70.643463
-33.3964600005,-70.644623
-33.3963560005,-70.645144
-33.3962220005,-70.645847
-33.3961210005,-70.646544
-33.3959860005,-70.647667
-33.3959210005,-70.648192
-33.3958470005,-70.649105
-33.3957840005,-70.650007
-33.3957350005,-70.650622
-33.3956140005,-70.651188
-33.3953450005,-70.652595
-33.3953480005,-70.65303
-33.3953820005,-70.653312
-33.3954000005,-70.653425
-33.3954890005,-70.654403
-33.3956950005,-70.6560950001
-33.3957640005,-70.6565500001
-33.3957710005,-70.6565980001
-33.3958170005,-70.6574020001
-33.3958480005,-70.6579930001
-33.3958860005,-70.6583380001
-33.3961770005,-70.6602620001
-33.3971720005,-70.6666140001
-33.3972130005,-70.6668820001
-33.3972870005,-70.6673600001
-33.3974440005,-70.6683700001
-33.3974830005,-70.6686090001
-33.3975590005,-70.6689380001
-33.3976490005,-70.6692050001
-33.3977560005,-70.6694700001
-33.3978590005,-70.6697010001
-33.3981200005,-70.6701870001
-33.3982800005,-70.6704830001
-33.3984250005,-70.6708510001
-33.3985310005,-70.6710990001
-33.3987020005,-70.6716460001
-33.3988210005,-70.6723260001
-33.3988320005,-70.6723600001
-33.3988730005,-70.6725050001
-33.3989520005,-70.6727230001
-33.3993610005,-70.6738510001
-33.3999080005,-70.6753730001
-33.4004390005,-70.6768190001
-33.4004610005,-70.6768820001
-33.4004890005,-70.6769640001
-33.4010650005,-70.6785570001
-33.4010900005,-70.6786110001
-33.4011240005,-70.6786780001
-33.4015260005,-70.6798070001
-33.4016390005,-70.6801140001
-33.4017340005,-70.6803990001
-33.4018090005,-70.6806810001
-33.4019000005,-70.6809850001
-33.4020240005,-70.6813700001
-33.4022790005,-70.6820630001
-33.4024610005,-70.6825020001
-33.4027320005,-70.6832040001
-33.4027400005,-70.6832170001
-33.4028600005,-70.6834750001
-33.4029520005,-70.6837540001
-33.4030130005,-70.6840190001
-33.4030340005,-70.6841840001
-33.4030390005,-70.6843540001
-33.4030310005,-70.6845730001
-33.4030100005,-70.6847200001
-33.4026170005,-70.6864340001
-33.4023250005,-70.6877250001
-33.4022090005,-70.6882100001
-33.4020100005,-70.6890310001
-33.4016100005,-70.6902520001
-33.4013660005,-70.6908520001
-33.4011840005,-70.6912990001
-33.4005940005,-70.6927270001
-33.4004820005,-70.6930670001
-33.4004200005,-70.6932690001
-33.4002590005,-70.6938550001
-33.4002180005,-70.6940490001
-33.4001110005,-70.6946630001
-33.4000610005,-70.6950080001
-33.4000090005,-70.6954480001
-33.3999740005,-70.6960140001
-33.3999800005,-70.6962200001
-33.4000060005,-70.6966230001
-33.4000640005,-70.6971420001
-33.4001530005,-70.6975710001
-33.4002720005,-70.6979450001
-33.4004810005,-70.6983100001
-33.4006070005,-70.6985450001
-33.4009090005,-70.6991420001
-33.4012000005,-70.6996760001
-33.4014990005,-70.7002630001
-33.4021260005,-70.7015360001
-33.4023690005,-70.7019030001
-33.4026200005,-70.7022100001
-33.4027750005,-70.7023710001
-33.4030740005,-70.7026300001
-33.4033430005,-70.7028390001
-33.4053620005,-70.7040810001
-33.4054590005,-70.7041340001
-33.4056700005,-70.7042560001
-33.4061960005,-70.7046020001
-33.4063720005,-70.7047030001
-33.4064000005,-70.7047240001
-33.4065410005,-70.7048070001
-33.4066310005,-70.7049140001
-33.4067880005,-70.7051010001
-33.4070050005,-70.7052460001
-33.4073970005,-70.7054740001
-33.4085650005,-70.7058970001
-33.4085470005,-70.7061100001
-33.4085390005,-70.7075670001
-33.4085470005,-70.7077030001
-33.4085480005,-70.7077620001
-33.4085070005,-70.7078330001
-33.4088390005,-70.7076760001
-33.4092340005,-70.7075110001
-33.4096630005,-70.7073220001
-33.4098450005,-70.7072400001
-33.4109700005,-70.7067330001
-33.4110860005,-70.7066840001
-33.4117180005,-70.7064050001
-33.4122580005,-70.7061600001
-33.4127670005,-70.7059240001
-33.4129840005,-70.7058380001
-33.4137280005,-70.7055230001
-33.4137650005,-70.7054420001
-33.4139370005,-70.7054100001
-33.4140730005,-70.7053730001
-33.4143000005,-70.7052750001
-33.4143900005,-70.7052240001
-33.4144850005,-70.7051960001
-33.4149690005,-70.7049840001
-33.4150430005,-70.7049560001
-33.4154350005,-70.7047840001
-33.4160600005,-70.7045080001
-33.4161320005,-70.7044820001
-33.4168030005,-70.7041910001
-33.4174480005,-70.7039120001
-33.4176550005,-70.7039020001
-33.4177290005,-70.7037860001
-33.4188080005,-70.7033310001
-33.4188990005,-70.7033310001
-33.4189880005,-70.7033600001
-33.4192670005,-70.7034470001
-33.4201720005,-70.7039790001
-33.4202280005,-70.7041030001
-33.4202920005,-70.7038970001
-33.4204010005,-70.7035420001
-33.4204340005,-70.7033680001
-33.4207910005,-70.7018080001
-33.4218440005,-70.7021190001
-33.4218940005,-70.7021310001
-33.4227080005,-70.7023640001
-33.4235890005,-70.7026150001
-33.4246810005,-70.7029300001
-33.4247740005,-70.7029500001
-33.4254520005,-70.7031410001
-33.4254910005,-70.7031690001
-33.4262050005,-70.7033740001
-33.4273530005,-70.7037010001
-33.4274130005,-70.7037230001
-33.4274660005,-70.7037390001
-33.4284130005,-70.7039980001
-33.4284730005,-70.7039920001
-33.4283540005,-70.7047150001
-33.4282400005,-70.7054020001
-33.4282050005,-70.7055540001
-33.4280460005,-70.7064060001
-33.4292360005,-70.7066280001
-33.4308130005,-70.7069220001
-33.4323640005,-70.7071980001
-33.4323910005,-70.7071970001
-33.4324630005,-70.7071950001
-33.4325350005,-70.7071700001
-33.4338520005,-70.7071500001
-33.4351240005,-70.7071310001
-33.4362070005,-70.7071110001
-33.4362610005,-70.7071140001
-33.4372890005,-70.7070950001
-33.4380750005,-70.7070850001
-33.4381640005,-70.7070690001
-33.4386420005,-70.7070890001
-33.4391820005,-70.7071360001
-33.4396870005,-70.7071670001
-33.4403440005,-70.7072140001
-33.4407590005,-70.7072480001
-33.4409200005,-70.7072630001
-33.4409660005,-70.7072970001
-33.4410960005,-70.7073460001
-33.4413030005,-70.7073750001
-33.4415220005,-70.7073780001
-33.4416960005,-70.7073720001
-33.4417150005,-70.7073300001
-33.4419530005,-70.7073300001
-33.4419930005,-70.7073520001
-33.4427500005,-70.7073580001
-33.4431830005,-70.7073510001
-33.4439990005,-70.7073440001
-33.4448650005,-70.7073370001
-33.4459160005,-70.7073320001
-33.4459970005,-70.7073260001
-33.4468910005,-70.7072880001
-33.4474410005,-70.7072680001
-33.4478110005,-70.7072500001
-33.4481820005,-70.7071950001
-33.4483300005,-70.7071750001
-33.4488120005,-70.7071010001
-33.4490630005,-70.7070640001
-33.4494550005,-70.7070100001
-33.4503560005,-70.7068750001
-33.4504960005,-70.7068570001
-33.4506090005,-70.7068430001
-33.4507930005,-70.7068210001
-33.4511190005,-70.7067100001
-33.4515090005,-70.7065540001
-33.4520060005,-70.7063520001
-33.4521300005,-70.7063060001
-33.4521710005,-70.7062930001
-33.4522520005,-70.7062660001
-33.4523610005,-70.7062400001
-33.4531670005,-70.7061120001
-33.4537100005,-70.7060260001
-33.4549550005,-70.7058370001
-33.4554880005,-70.7057590001
-33.4560190005,-70.7057100001
-33.4560720005,-70.7057040001
-33.4564260005,-70.7056710001
-33.4574660005,-70.7055590001
-33.4591320005,-70.7054330001
-33.4630580005,-70.7051840001
-33.4634430005,-70.7052380001
-33.4640390005,-70.7052020001
-33.4645380005,-70.7051580001
-33.4650490005,-70.7066500001
-33.4652000005,-70.7070620001
-33.4653220005,-70.7074170001
-33.4654870005,-70.7078840001
-33.4655740005,-70.7081350001
-33.4656260005,-70.7082390001
-33.4658240005,-70.7085990001
-33.4659560005,-70.7088370001
-33.4661370005,-70.7091810001
-33.4663650005,-70.7095750001
-33.4665410005,-70.7099100001
-33.4667390005,-70.7102520001
-33.4669110005,-70.7105790001
-33.4671560005,-70.7110680001
-33.4680720005,-70.7130620001
-33.4688440005,-70.7147060001
-33.4695230005,-70.7161570001
-33.4696840005,-70.7165100001
-33.4699640005,-70.7171280001
-33.4700220005,-70.7172520001
-33.4700870005,-70.7173760001
-33.4702950005,-70.7177090001
-33.4706190005,-70.7181940001
-33.4710340005,-70.7188400001
-33.4712980005,-70.7192510001
-33.4717450005,-70.7199460001
-33.4719420005,-70.7202510001
-33.4724680005,-70.7210660001
-33.4725070005,-70.7211340001
-33.4725710005,-70.7212180001
-33.4728370005,-70.7216360001
-33.4729500005,-70.7217810001
-33.4730250005,-70.7218700001
-33.4731670005,-70.7220210001
-33.4733310005,-70.7221720001
-33.4733400005,-70.7222570001
-33.4734270005,-70.7222320001
-33.4735940005,-70.7223170001
-33.4737660005,-70.7223760001
-33.4739430005,-70.7224190001
-33.4740690005,-70.7224430001
-33.4742630005,-70.7224810001
-33.4743360005,-70.7225010001
-33.4754450005,-70.7227090001
-33.4768120005,-70.7229660001
-33.4772620005,-70.7230560001
-33.4778300005,-70.7231740001
-33.4791670005,-70.7234010001
-33.4796320005,-70.7234870001
-33.4799410005,-70.7235460001
-33.4801310005,-70.7235900001
-33.4802560005,-70.7236270001
-33.4804030005,-70.7237020001
-33.4804580005,-70.7237400001
-33.4805440005,-70.7238000001
-33.4807300005,-70.7239800001
-33.4807470005,-70.7239940001
-33.4809570005,-70.7241700001
-33.4812150005,-70.7243650001
-33.4813530005,-70.7244650001
-33.4814850005,-70.7245280001
-33.4817780005,-70.7246290001
-33.4819930005,-70.7246530001
-33.4821160005,-70.7246590001
-33.4824940005,-70.7246750001
-33.4826020005,-70.7246810001
-33.4827750005,-70.7246680001
-33.4829430005,-70.7246270001
-33.4830790005,-70.7245860001
-33.4831560005,-70.7245420001
-33.4832960005,-70.7245420001
-33.4837460005,-70.7245820001
-33.4838750005,-70.7245960001
-33.4843170005,-70.7246510001
-33.4845460005,-70.7246800001
-33.4848870005,-70.7247230001
-33.4850740005,-70.7247330001
-33.4852780005,-70.7247250001
-33.4854540005,-70.7247120001
-33.4857120005,-70.7246730001
-33.4858450005,-70.7246380001
-33.4858960005,-70.7246250001
-33.4863520005,-70.7244990001
-33.4864920005,-70.7244420001
-33.4865950005,-70.7244400001
-33.4877840005,-70.7240820001
-33.4882690005,-70.7239520001
-33.4886870005,-70.7238380001
-33.4891070005,-70.7237080001
-33.4895370005,-70.7234990001
-33.4897260005,-70.7233770001
-33.4903210005,-70.7229900001
-33.4906720005,-70.7227720001
-33.4911490005,-70.7224930001
-33.4916290005,-70.7223570001
-33.4927250005,-70.7223740001
-33.4934140005,-70.7223610001
-33.4940630005,-70.7223740001
-33.4944870005,-70.7223660001
-33.4948560005,-70.7223640001
-33.4950290005,-70.7223070001
-33.4951380005,-70.7222550001
-33.4953110005,-70.7221450001
-33.4953780005,-70.7221050001
-33.4956120005,-70.7218400001
-33.4959370005,-70.7212830001
