id,cod,num,pos,name,comuna,type,servicios,stop,eje,codSimt,distancia
10561,PI883,0,"[-33.5069538, -70.7348659]",Avenida Las Torres esq. Acapulco,CERRILLOS,0,"[{'id': 944, 'cod': '481', 'destino': 'Plaza Italia', 'orden': 28, 'color': '#FFD400', 'negocio': {'nombre': 'Servicio de Transportes de Personas', 'color': '#FFD400'}, 'recorrido': {'destino': 'Plaza Italia'}, 'horarios': [{}], 'paradas': [], 'shapes': [], 'itinerario': False, 'codigo': 'U7'}, {'id': 636, 'cod': 'I04', 'destino': '(M) San Alberto Hurtado', 'orden': 39, 'color': '#00A77E', 'negocio': {'nombre': 'Buses Vule S.A.', 'color': '#00A77E'}, 'recorrido': {'destino': '(M) San Alberto Hurtado'}, 'horarios': [{}], 'paradas': [], 'shapes': [], 'itinerario': False, 'codigo': 'U3'}, {'id': 811, 'cod': '101', 'destino': 'Recoleta', 'orden': 1, 'color': '#F7941D', 'negocio': {'nombre': 'Express de Santiago Uno S.A.', 'color': '#F7941D'}, 'recorrido': {'destino': 'Recoleta'}, 'horarios': [{}], 'paradas': [], 'shapes': [], 'itinerario': False, 'codigo': 'U4'}, {'id': 668, 'cod': 'I18', 'destino': '(M) ULA', 'orden': 28, 'color': '#00A77E', 'negocio': {'nombre': 'Buses Vule S.A.', 'color': '#00A77E'}, 'recorrido': {'destino': '(M) ULA'}, 'horarios': [{}], 'paradas': [], 'shapes': [], 'itinerario': False, 'codigo': 'U3'}]","{'stopId': 923147, 'stopCoordenadaX': '-33.5069538', 'stopCoordenadaY': '-70.7348659'}",Avenida Las Torres,PI883,0.0
10559,PI884,0,"[-33.5044568, -70.7349989]",Avenida Las Torres esq. Av. A. Vespucio,CERRILLOS,0,"[{'id': 944, 'cod': '481', 'destino': 'Plaza Italia', 'orden': 29, 'color': '#FFD400', 'negocio': {'nombre': 'Servicio de Transportes de Personas', 'color': '#FFD400'}, 'recorrido': {'destino': 'Plaza Italia'}, 'horarios': [{}], 'paradas': [], 'shapes': [], 'itinerario': False, 'codigo': 'U7'}, {'id': 811, 'cod': '101', 'destino': 'Recoleta', 'orden': 2, 'color': '#F7941D', 'negocio': {'nombre': 'Express de Santiago Uno S.A.', 'color': '#F7941D'}, 'recorrido': {'destino': 'Recoleta'}, 'horarios': [{}], 'paradas': [], 'shapes': [], 'itinerario': False, 'codigo': 'U4'}, {'id': 636, 'cod': 'I04', 'destino': '(M) San Alberto Hurtado', 'orden': 40, 'color': '#00A77E', 'negocio': {'nombre': 'Buses Vule S.A.', 'color': '#00A77E'}, 'recorrido': {'destino': '(M) San Alberto Hurtado'}, 'horarios': [{}], 'paradas': [], 'shapes': [], 'itinerario': False, 'codigo': 'U3'}, {'id': 668, 'cod': 'I18', 'destino': '(M) ULA', 'orden': 29, 'color': '#00A77E', 'negocio': {'nombre': 'Buses Vule S.A.', 'color': '#00A77E'}, 'recorrido': {'destino': '(M) ULA'}, 'horarios': [{}], 'paradas': [], 'shapes': [], 'itinerario': False, 'codigo': 'U3'}]","{'stopId': 923148, 'stopCoordenadaX': '-33.5044568', 'stopCoordenadaY': '-70.7349989'}",Avenida Las Torres,PI884,0.0
10562,PI1646,0,"[-33.5021418, -70.733991]",Avenida Las Torres esq. El Mirador,CERRILLOS,0,"[{'id': 811, 'cod': '101', 'destino': 'Recoleta', 'orden': 3, 'color': '#F7941D', 'negocio': {'nombre': 'Express de Santiago Uno S.A.', 'color': '#F7941D'}, 'recorrido': {'destino': 'Recoleta'}, 'horarios': [{}], 'paradas': [], 'shapes': [], 'itinerario': False, 'codigo': 'U4'}, {'id': 944, 'cod': '481', 'destino': 'Plaza Italia', 'orden': 30, 'color': '#FFD400', 'negocio': {'nombre': 'Servicio de Transportes de Personas', 'color': '#FFD400'}, 'recorrido': {'destino': 'Plaza Italia'}, 'horarios': [{}], 'paradas': [], 'shapes': [], 'itinerario': False, 'codigo': 'U7'}]","{'stopId': 926423, 'stopCoordenadaX': '-33.5021418', 'stopCoordenadaY': '-70.7339910'}",Avenida Las Torres,PI1646,0.0
10694,PI1644,0,"[-33.5021599, -70.7319889]",El Mirador esq. Comas Sola,CERRILLOS,0,"[{'id': 811, 'cod': '101', 'destino': 'Recoleta', 'orden': 4, 'color': '#F7941D', 'negocio': {'nombre': 'Express de Santiago Uno S.A.', 'color': '#F7941D'}, 'recorrido': {'destino': 'Recoleta'}, 'horarios': [{}], 'paradas': [], 'shapes': [], 'itinerario': False, 'codigo': 'U4'}, {'id': 944, 'cod': '481', 'destino': 'Plaza Italia', 'orden': 31, 'color': '#FFD400', 'negocio': {'nombre': 'Servicio de Transportes de Personas', 'color': '#FFD400'}, 'recorrido': {'destino': 'Plaza Italia'}, 'horarios': [{}], 'paradas': [], 'shapes': [], 'itinerario': False, 'codigo': 'U7'}]","{'stopId': 926424, 'stopCoordenadaX': '-33.5021599', 'stopCoordenadaY': '-70.7319889'}",El Mirador,PI1644,0.0
10696,PI1636,0,"[-33.5023159, -70.7292909]",El Mirador esq. Divino Maestro,CERRILLOS,0,"[{'id': 944, 'cod': '481', 'destino': 'Plaza Italia', 'orden': 32, 'color': '#FFD400', 'negocio': {'nombre': 'Servicio de Transportes de Personas', 'color': '#FFD400'}, 'recorrido': {'destino': 'Plaza Italia'}, 'horarios': [{}], 'paradas': [], 'shapes': [], 'itinerario': False, 'codigo': 'U7'}, {'id': 811, 'cod': '101', 'destino': 'Recoleta', 'orden': 5, 'color': '#F7941D', 'negocio': {'nombre': 'Express de Santiago Uno S.A.', 'color': '#F7941D'}, 'recorrido': {'destino': 'Recoleta'}, 'horarios': [{}], 'paradas': [], 'shapes': [], 'itinerario': False, 'codigo': 'U4'}]","{'stopId': 926425, 'stopCoordenadaX': '-33.5023159', 'stopCoordenadaY': '-70.7292909'}",El Mirador,PI1636,0.0
10684,PI889,0,"[-33.50317, -70.726166]",El Mirador esq. Santa Teresita,CERRILLOS,0,"[{'id': 811, 'cod': '101', 'destino': 'Recoleta', 'orden': 6, 'color': '#F7941D', 'negocio': {'nombre': 'Express de Santiago Uno S.A.', 'color': '#F7941D'}, 'recorrido': {'destino': 'Recoleta'}, 'horarios': [{}], 'paradas': [], 'shapes': [], 'itinerario': False, 'codigo': 'U4'}, {'id': 782, 'cod': 'I14n', 'destino': 'Mall Plaza Oeste', 'orden': 39, 'color': '#00A77E', 'negocio': {'nombre': 'Buses Vule S.A.', 'color': '#00A77E'}, 'recorrido': {'destino': 'Mall Plaza Oeste'}, 'horarios': [{}], 'paradas': [], 'shapes': [], 'itinerario': False, 'codigo': 'U3'}, {'id': 663, 'cod': 'I14', 'destino': 'Mall Plaza Oeste', 'orden': 39, 'color': '#00A77E', 'negocio': {'nombre': 'Buses Vule S.A.', 'color': '#00A77E'}, 'recorrido': {'destino': 'Mall Plaza Oeste'}, 'horarios': [{}], 'paradas': [], 'shapes': [], 'itinerario': False, 'codigo': 'U3'}, {'id': 944, 'cod': '481', 'destino': 'Plaza Italia', 'orden': 33, 'color': '#FFD400', 'negocio': {'nombre': 'Servicio de Transportes de Personas', 'color': '#FFD400'}, 'recorrido': {'destino': 'Plaza Italia'}, 'horarios': [{}], 'paradas': [], 'shapes': [], 'itinerario': False, 'codigo': 'U7'}, {'id': 636, 'cod': 'I04', 'destino': '(M) San Alberto Hurtado', 'orden': 45, 'color': '#00A77E', 'negocio': {'nombre': 'Buses Vule S.A.', 'color': '#00A77E'}, 'recorrido': {'destino': '(M) San Alberto Hurtado'}, 'horarios': [{}], 'paradas': [], 'shapes': [], 'itinerario': False, 'codigo': 'U3'}]","{'stopId': 923153, 'stopCoordenadaX': '-33.5031700', 'stopCoordenadaY': '-70.7261660'}",El Mirador,PI889,0.0
10686,PI890,0,"[-33.504116, -70.722988]",El Mirador esq. Los Telares,CERRILLOS,0,"[{'id': 944, 'cod': '481', 'destino': 'Plaza Italia', 'orden': 34, 'color': '#FFD400', 'negocio': {'nombre': 'Servicio de Transportes de Personas', 'color': '#FFD400'}, 'recorrido': {'destino': 'Plaza Italia'}, 'horarios': [{}], 'paradas': [], 'shapes': [], 'itinerario': False, 'codigo': 'U7'}, {'id': 663, 'cod': 'I14', 'destino': 'Mall Plaza Oeste', 'orden': 40, 'color': '#00A77E', 'negocio': {'nombre': 'Buses Vule S.A.', 'color': '#00A77E'}, 'recorrido': {'destino': 'Mall Plaza Oeste'}, 'horarios': [{}], 'paradas': [], 'shapes': [], 'itinerario': False, 'codigo': 'U3'}, {'id': 636, 'cod': 'I04', 'destino': '(M) San Alberto Hurtado', 'orden': 46, 'color': '#00A77E', 'negocio': {'nombre': 'Buses Vule S.A.', 'color': '#00A77E'}, 'recorrido': {'destino': '(M) San Alberto Hurtado'}, 'horarios': [{}], 'paradas': [], 'shapes': [], 'itinerario': False, 'codigo': 'U3'}, {'id': 782, 'cod': 'I14n', 'destino': 'Mall Plaza Oeste', 'orden': 40, 'color': '#00A77E', 'negocio': {'nombre': 'Buses Vule S.A.', 'color': '#00A77E'}, 'recorrido': {'destino': 'Mall Plaza Oeste'}, 'horarios': [{}], 'paradas': [], 'shapes': [], 'itinerario': False, 'codigo': 'U3'}, {'id': 811, 'cod': '101', 'destino': 'Recoleta', 'orden': 7, 'color': '#F7941D', 'negocio': {'nombre': 'Express de Santiago Uno S.A.', 'color': '#F7941D'}, 'recorrido': {'destino': 'Recoleta'}, 'horarios': [{}], 'paradas': [], 'shapes': [], 'itinerario': False, 'codigo': 'U4'}]","{'stopId': 923154, 'stopCoordenadaX': '-33.5041160', 'stopCoordenadaY': '-70.7229880'}",El Mirador,PI890,0.0
10688,PI891,0,"[-33.5044431, -70.720984]",El Mirador esq. Pablo Suárez,CERRILLOS,0,"[{'id': 782, 'cod': 'I14n', 'destino': 'Mall Plaza Oeste', 'orden': 41, 'color': '#00A77E', 'negocio': {'nombre': 'Buses Vule S.A.', 'color': '#00A77E'}, 'recorrido': {'destino': 'Mall Plaza Oeste'}, 'horarios': [{}], 'paradas': [], 'shapes': [], 'itinerario': False, 'codigo': 'U3'}, {'id': 811, 'cod': '101', 'destino': 'Recoleta', 'orden': 8, 'color': '#F7941D', 'negocio': {'nombre': 'Express de Santiago Uno S.A.', 'color': '#F7941D'}, 'recorrido': {'destino': 'Recoleta'}, 'horarios': [{}], 'paradas': [], 'shapes': [], 'itinerario': False, 'codigo': 'U4'}, {'id': 636, 'cod': 'I04', 'destino': '(M) San Alberto Hurtado', 'orden': 47, 'color': '#00A77E', 'negocio': {'nombre': 'Buses Vule S.A.', 'color': '#00A77E'}, 'recorrido': {'destino': '(M) San Alberto Hurtado'}, 'horarios': [{}], 'paradas': [], 'shapes': [], 'itinerario': False, 'codigo': 'U3'}, {'id': 944, 'cod': '481', 'destino': 'Plaza Italia', 'orden': 35, 'color': '#FFD400', 'negocio': {'nombre': 'Servicio de Transportes de Personas', 'color': '#FFD400'}, 'recorrido': {'destino': 'Plaza Italia'}, 'horarios': [{}], 'paradas': [], 'shapes': [], 'itinerario': False, 'codigo': 'U7'}, {'id': 663, 'cod': 'I14', 'destino': 'Mall Plaza Oeste', 'orden': 41, 'color': '#00A77E', 'negocio': {'nombre': 'Buses Vule S.A.', 'color': '#00A77E'}, 'recorrido': {'destino': 'Mall Plaza Oeste'}, 'horarios': [{}], 'paradas': [], 'shapes': [], 'itinerario': False, 'codigo': 'U3'}]","{'stopId': 923155, 'stopCoordenadaX': '-33.5044431', 'stopCoordenadaY': '-70.7209840'}",El Mirador,PI891,0.0
10690,PI892,0,"[-33.5049031, -70.718166]",El Mirador esq. Don Orione,CERRILLOS,0,"[{'id': 944, 'cod': '481', 'destino': 'Plaza Italia', 'orden': 36, 'color': '#FFD400', 'negocio': {'nombre': 'Servicio de Transportes de Personas', 'color': '#FFD400'}, 'recorrido': {'destino': 'Plaza Italia'}, 'horarios': [{}], 'paradas': [], 'shapes': [], 'itinerario': False, 'codigo': 'U7'}, {'id': 782, 'cod': 'I14n', 'destino': 'Mall Plaza Oeste', 'orden': 42, 'color': '#00A77E', 'negocio': {'nombre': 'Buses Vule S.A.', 'color': '#00A77E'}, 'recorrido': {'destino': 'Mall Plaza Oeste'}, 'horarios': [{}], 'paradas': [], 'shapes': [], 'itinerario': False, 'codigo': 'U3'}, {'id': 636, 'cod': 'I04', 'destino': '(M) San Alberto Hurtado', 'orden': 48, 'color': '#00A77E', 'negocio': {'nombre': 'Buses Vule S.A.', 'color': '#00A77E'}, 'recorrido': {'destino': '(M) San Alberto Hurtado'}, 'horarios': [{}], 'paradas': [], 'shapes': [], 'itinerario': False, 'codigo': 'U3'}, {'id': 663, 'cod': 'I14', 'destino': 'Mall Plaza Oeste', 'orden': 42, 'color': '#00A77E', 'negocio': {'nombre': 'Buses Vule S.A.', 'color': '#00A77E'}, 'recorrido': {'destino': 'Mall Plaza Oeste'}, 'horarios': [{}], 'paradas': [], 'shapes': [], 'itinerario': False, 'codigo': 'U3'}, {'id': 811, 'cod': '101', 'destino': 'Recoleta', 'orden': 9, 'color': '#F7941D', 'negocio': {'nombre': 'Express de Santiago Uno S.A.', 'color': '#F7941D'}, 'recorrido': {'destino': 'Recoleta'}, 'horarios': [{}], 'paradas': [], 'shapes': [], 'itinerario': False, 'codigo': 'U4'}]","{'stopId': 923156, 'stopCoordenadaX': '-33.5049031', 'stopCoordenadaY': '-70.7181660'}",El Mirador,PI892,0.0
10681,PI26,0,"[-33.503342, -70.7175805]",Don Orione esq. Alcazar,CERRILLOS,0,"[{'id': 811, 'cod': '101', 'destino': 'Recoleta', 'orden': 10, 'color': '#F7941D', 'negocio': {'nombre': 'Express de Santiago Uno S.A.', 'color': '#F7941D'}, 'recorrido': {'destino': 'Recoleta'}, 'horarios': [{}], 'paradas': [], 'shapes': [], 'itinerario': False, 'codigo': 'U4'}, {'id': 636, 'cod': 'I04', 'destino': '(M) San Alberto Hurtado', 'orden': 49, 'color': '#00A77E', 'negocio': {'nombre': 'Buses Vule S.A.', 'color': '#00A77E'}, 'recorrido': {'destino': '(M) San Alberto Hurtado'}, 'horarios': [{}], 'paradas': [], 'shapes': [], 'itinerario': False, 'codigo': 'U3'}, {'id': 944, 'cod': '481', 'destino': 'Plaza Italia', 'orden': 37, 'color': '#FFD400', 'negocio': {'nombre': 'Servicio de Transportes de Personas', 'color': '#FFD400'}, 'recorrido': {'destino': 'Plaza Italia'}, 'horarios': [{}], 'paradas': [], 'shapes': [], 'itinerario': False, 'codigo': 'U7'}, {'id': 637, 'cod': 'I04', 'destino': 'Villa El Abrazo', 'orden': 38, 'color': '#00A77E', 'negocio': {'nombre': 'Buses Vule S.A.', 'color': '#00A77E'}, 'recorrido': {'destino': 'Villa El Abrazo'}, 'horarios': [{}], 'paradas': [], 'shapes': [], 'itinerario': False, 'codigo': 'U3'}]","{'stopId': 923157, 'stopCoordenadaX': '-33.5033420', 'stopCoordenadaY': '-70.7175805'}",Don Orione,PI26,0.0
