id,cod,destino,orden,color,negocio,recorrido,horarios,paradas,shapes,itinerario,codigo
944,481,Plaza Italia,28,#FFD400,"{'nombre': 'Servicio de Transportes de Personas', 'color': '#FFD400'}",{'destino': 'Plaza Italia'},[{}],[],[],False,U7
636,I04,(M) San Alberto Hurtado,39,#00A77E,"{'nombre': 'Buses Vule S.A.', 'color': '#00A77E'}",{'destino': '(M) San Alberto Hurtado'},[{}],[],[],False,U3
811,101,Recoleta,1,#F7941D,"{'nombre': 'Express de Santiago Uno S.A.', 'color': '#F7941D'}",{'destino': 'Recoleta'},[{}],[],[],False,U4
668,I18,(M) ULA,28,#00A77E,"{'nombre': 'Buses Vule S.A.', 'color': '#00A77E'}",{'destino': '(M) ULA'},[{}],[],[],False,U3
944,481,Plaza Italia,29,#FFD400,"{'nombre': 'Servicio de Transportes de Personas', 'color': '#FFD400'}",{'destino': 'Plaza Italia'},[{}],[],[],False,U7
811,101,Recoleta,2,#F7941D,"{'nombre': 'Express de Santiago Uno S.A.', 'color': '#F7941D'}",{'destino': 'Recoleta'},[{}],[],[],False,U4
636,I04,(M) San Alberto Hurtado,40,#00A77E,"{'nombre': 'Buses Vule S.A.', 'color': '#00A77E'}",{'destino': '(M) San Alberto Hurtado'},[{}],[],[],False,U3
668,I18,(M) ULA,29,#00A77E,"{'nombre': 'Buses Vule S.A.', 'color': '#00A77E'}",{'destino': '(M) ULA'},[{}],[],[],False,U3
811,101,Recoleta,3,#F7941D,"{'nombre': 'Express de Santiago Uno S.A.', 'color': '#F7941D'}",{'destino': 'Recoleta'},[{}],[],[],False,U4
944,481,Plaza Italia,30,#FFD400,"{'nombre': 'Servicio de Transportes de Personas', 'color': '#FFD400'}",{'destino': 'Plaza Italia'},[{}],[],[],False,U7
811,101,Recoleta,4,#F7941D,"{'nombre': 'Express de Santiago Uno S.A.', 'color': '#F7941D'}",{'destino': 'Recoleta'},[{}],[],[],False,U4
944,481,Plaza Italia,31,#FFD400,"{'nombre': 'Servicio de Transportes de Personas', 'color': '#FFD400'}",{'destino': 'Plaza Italia'},[{}],[],[],False,U7
944,481,Plaza Italia,32,#FFD400,"{'nombre': 'Servicio de Transportes de Personas', 'color': '#FFD400'}",{'destino': 'Plaza Italia'},[{}],[],[],False,U7
811,101,Recoleta,5,#F7941D,"{'nombre': 'Express de Santiago Uno S.A.', 'color': '#F7941D'}",{'destino': 'Recoleta'},[{}],[],[],False,U4
811,101,Recoleta,6,#F7941D,"{'nombre': 'Express de Santiago Uno S.A.', 'color': '#F7941D'}",{'destino': 'Recoleta'},[{}],[],[],False,U4
782,I14n,Mall Plaza Oeste,39,#00A77E,"{'nombre': 'Buses Vule S.A.', 'color': '#00A77E'}",{'destino': 'Mall Plaza Oeste'},[{}],[],[],False,U3
663,I14,Mall Plaza Oeste,39,#00A77E,"{'nombre': 'Buses Vule S.A.', 'color': '#00A77E'}",{'destino': 'Mall Plaza Oeste'},[{}],[],[],False,U3
944,481,Plaza Italia,33,#FFD400,"{'nombre': 'Servicio de Transportes de Personas', 'color': '#FFD400'}",{'destino': 'Plaza Italia'},[{}],[],[],False,U7
636,I04,(M) San Alberto Hurtado,45,#00A77E,"{'nombre': 'Buses Vule S.A.', 'color': '#00A77E'}",{'destino': '(M) San Alberto Hurtado'},[{}],[],[],False,U3
944,481,Plaza Italia,34,#FFD400,"{'nombre': 'Servicio de Transportes de Personas', 'color': '#FFD400'}",{'destino': 'Plaza Italia'},[{}],[],[],False,U7
663,I14,Mall Plaza Oeste,40,#00A77E,"{'nombre': 'Buses Vule S.A.', 'color': '#00A77E'}",{'destino': 'Mall Plaza Oeste'},[{}],[],[],False,U3
636,I04,(M) San Alberto Hurtado,46,#00A77E,"{'nombre': 'Buses Vule S.A.', 'color': '#00A77E'}",{'destino': '(M) San Alberto Hurtado'},[{}],[],[],False,U3
782,I14n,Mall Plaza Oeste,40,#00A77E,"{'nombre': 'Buses Vule S.A.', 'color': '#00A77E'}",{'destino': 'Mall Plaza Oeste'},[{}],[],[],False,U3
811,101,Recoleta,7,#F7941D,"{'nombre': 'Express de Santiago Uno S.A.', 'color': '#F7941D'}",{'destino': 'Recoleta'},[{}],[],[],False,U4
782,I14n,Mall Plaza Oeste,41,#00A77E,"{'nombre': 'Buses Vule S.A.', 'color': '#00A77E'}",{'destino': 'Mall Plaza Oeste'},[{}],[],[],False,U3
811,101,Recoleta,8,#F7941D,"{'nombre': 'Express de Santiago Uno S.A.', 'color': '#F7941D'}",{'destino': 'Recoleta'},[{}],[],[],False,U4
636,I04,(M) San Alberto Hurtado,47,#00A77E,"{'nombre': 'Buses Vule S.A.', 'color': '#00A77E'}",{'destino': '(M) San Alberto Hurtado'},[{}],[],[],False,U3
944,481,Plaza Italia,35,#FFD400,"{'nombre': 'Servicio de Transportes de Personas', 'color': '#FFD400'}",{'destino': 'Plaza Italia'},[{}],[],[],False,U7
663,I14,Mall Plaza Oeste,41,#00A77E,"{'nombre': 'Buses Vule S.A.', 'color': '#00A77E'}",{'destino': 'Mall Plaza Oeste'},[{}],[],[],False,U3
944,481,Plaza Italia,36,#FFD400,"{'nombre': 'Servicio de Transportes de Personas', 'color': '#FFD400'}",{'destino': 'Plaza Italia'},[{}],[],[],False,U7
782,I14n,Mall Plaza Oeste,42,#00A77E,"{'nombre': 'Buses Vule S.A.', 'color': '#00A77E'}",{'destino': 'Mall Plaza Oeste'},[{}],[],[],False,U3
