lat,long
-33.5084340005,-70.7345820001
-33.5064030005,-70.7350760001
-33.5063210005,-70.7350880001
-33.5052270005,-70.7353480001
-33.5051450005,-70.7353550001
-33.5050460005,-70.7353360001
-33.5042490005,-70.7349540001
-33.5040910005,-70.7348920001
-33.5039850005,-70.7348470001
-33.5037790005,-70.7347610001
-33.5036810005,-70.7347200001
-33.5033200005,-70.7345690001
-33.5032720005,-70.7345200001
-33.5028870005,-70.7343620001
-33.5025520005,-70.7342130001
-33.5018920005,-70.7339160001
-33.5019430005,-70.7334930001
-33.5020120005,-70.7330410001
-33.5020630005,-70.7326190001
-33.5021150005,-70.7321860001
-33.5021370005,-70.7318740001
-33.5021590005,-70.7315790001
-33.5021940005,-70.7310180001
-33.5022180005,-70.7305810001
-33.5022430005,-70.7300900001
-33.5022590005,-70.7296160001
-33.5022930005,-70.7291250001
-33.5023030005,-70.7290080001
-33.5022940005,-70.7289520001
-33.5023200005,-70.7288310001
-33.5023490005,-70.7287820001
-33.5023750005,-70.7287500001
-33.5023970005,-70.7287210001
-33.5024480005,-70.7285760001
-33.5025300005,-70.7282860001
-33.5026920005,-70.7277220001
-33.5027570005,-70.7275030001
-33.5030410005,-70.7265160001
-33.5031460005,-70.7261180001
-33.5031740005,-70.7260390001
-33.5034530005,-70.7254540001
-33.5036290005,-70.7250980001
-33.5036760005,-70.7250140001
-33.5037230005,-70.7248680001
-33.5037690005,-70.7247480001
-33.5038170005,-70.7245360001
-33.5038280005,-70.7244570001
-33.5038950005,-70.7241600001
-33.5041030005,-70.7228300001
-33.5041610005,-70.7225200001
-33.5042510005,-70.7219380001
-33.5043000005,-70.7216430001
-33.5044470005,-70.7207760001
-33.5045550005,-70.7201300001
-33.5046030005,-70.7198570001
-33.5046490005,-70.7195250001
-33.5046890005,-70.7192810001
-33.5047630005,-70.7188240001
-33.5048410005,-70.7183630001
-33.5048910005,-70.7180350001
-33.5043970005,-70.7179110001
-33.5039740005,-70.7178000001
-33.5039470005,-70.7177930001
-33.5034710005,-70.7176830001
-33.5029950005,-70.7175500001
-33.5024470005,-70.7174090001
-33.5016290005,-70.7171830001
-33.5006770005,-70.7169070001
-33.5004520005,-70.7168550001
-33.5002100005,-70.7167960001
-33.4998950005,-70.7167080001
-33.4995720005,-70.7166170001
-33.4989790005,-70.7164490001
-33.4986640005,-70.7163650001
-33.4986020005,-70.7162930001
-33.4979210005,-70.7175780001
-33.4978670005,-70.7176790001
-33.4974790005,-70.7183990001
-33.4968060005,-70.7196550001
-33.4959370005,-70.7212830001
-33.4956120005,-70.7218400001
-33.4953780005,-70.7221050001
-33.4953110005,-70.7221450001
-33.4951380005,-70.7222550001
-33.4950290005,-70.7223070001
-33.4948560005,-70.7223640001
-33.4944870005,-70.7223660001
-33.4940630005,-70.7223740001
-33.4934140005,-70.7223610001
-33.4927250005,-70.7223740001
-33.4916290005,-70.7223570001
-33.4911490005,-70.7224930001
-33.4906720005,-70.7227720001
-33.4903210005,-70.7229900001
-33.4896670005,-70.7231970001
-33.4892000005,-70.7234740001
-33.4890180005,-70.7235250001
-33.4877480005,-70.7239590001
-33.4872280005,-70.7241360001
-33.4866110005,-70.7243390001
-33.4864920005,-70.7244420001
-33.4863520005,-70.7244990001
-33.4858960005,-70.7246250001
-33.4858450005,-70.7246380001
-33.4857120005,-70.7246730001
-33.4854540005,-70.7247120001
-33.4852780005,-70.7247250001
-33.4850740005,-70.7247330001
-33.4848870005,-70.7247230001
-33.4845460005,-70.7246800001
-33.4843170005,-70.7246510001
-33.4838750005,-70.7245960001
-33.4837460005,-70.7245820001
-33.4832960005,-70.7245420001
-33.4831560005,-70.7245420001
-33.4830760005,-70.7245260001
-33.4824280005,-70.7244370001
-33.4821170005,-70.7244100001
-33.4818880005,-70.7243880001
-33.4818170005,-70.7243760001
-33.4817160005,-70.7243640001
-33.4816490005,-70.7243480001
-33.4814140005,-70.7242680001
-33.4813160005,-70.7242290001
-33.4811560005,-70.7241370001
-33.4810060005,-70.7240300001
-33.4807330005,-70.7238110001
-33.4805680005,-70.7236930001
-33.4803100005,-70.7235430001
-33.4801390005,-70.7234860001
-33.4798680005,-70.7234290001
-33.4798070005,-70.7234160001
-33.4791910005,-70.7233050001
-33.4786490005,-70.7232090001
-33.4785950005,-70.7231890001
-33.4783500005,-70.7230870001
-33.4782180005,-70.7230610001
-33.4781280005,-70.7230400001
-33.4780740005,-70.7230270001
-33.4772640005,-70.7228720001
-33.4768100005,-70.7227850001
-33.4763980005,-70.7227060001
-33.4762080005,-70.7226690001
-33.4753380005,-70.7224980001
-33.4752570005,-70.7224820001
-33.4745810005,-70.7223510001
